Name,Salesforce Account ID,Infrastructure Project ID,Contract Start Date,Live,Salesforce Opportunity ID,SFDC Magento Account ID,Status
Mancini's Sleepworld,0011O00002Y0z6JQAR,lygakhei2oggy,12/22/20,8/19/21,0061C00000kBXzsQAG,0011500001IhCQNAA3,Live
Enterprise - Sealed Air Corporation - Magento Commerce - DR2766914,,z7kws3mfl5e2y,12/1/20,8/2/21,,0011C00002gDzRiQAK,Live
Enterprise - Assa Abloy - Magento - Entrance Systems - DR2734568,,yygpweufxbtek,12/21/20,7/26/21,,0011C00002f7NDyQAM,Live
Teds Camera Stores (Vic) Pty Ltd,,ybfqkp5hezg3y,12/2/20,7/21/21,0061C00000jFGHqQAO,0011500001IgPhrAAF,Live
Sonneman Lighting,0011O00002UzZAoQAN,ztltyih2xlh42,12/31/20,7/15/21,0061C00000jco0yQAA,0011C00002s9bKOQAY,Live
"Implus Footcare, LLC",0011400001boEDxAAM,p47iifnawinju,12/18/20,7/13/21,0061C00000jcFRKQA2,0011C00002gEQKQQA4,Live
Agasus SA,,2k7hne4lyagf6,12/30/20,7/8/21,0061C00000jyNMOQA2,0011C00002uo7XuQAI,Live
Comercial Fashion's Park SA,0011O00002KxHjBQAV,ohancmgor2jgi,12/14/20,7/1/21,0061C00000jcsfCQAQ,0011C00002V571IQAR,Live
Vohkus Limited (meggha),0015Y00002Y1fHFQAZ,rnp2mzipovlnq,12/1/20,7/1/21,0061C00000i3SqWQAU,0011500001IiE96AAF,Live
"Promologistics, S.A. de C.V.",0011O00002Y0h8TQAR,pxebhoseyrhqm,12/15/20,6/25/21,0061C00000k8YcHQAU,0011C00002umgXkQAI,Live
Medcor,,srzdrctemtey4,12/7/20,6/14/21,0061C00000hZp4FQAS,0011C00002jAF4GQAW,Live
Spectra True Color DBA Spectra Integration,0011O00002V1NJUQA3,vxjgmnbgghm6m,12/22/20,6/7/21,0061C00000jybB3QAI,0011C00002uoJX7QAM,Decommission Submitted
Donald Russell Ltd.,00130000010KSRkAAO,unlbbcc6jw3yc,12/9/20,5/27/21,0061C00000iTC99QAG,0011500001IgHh0AAF,Live
NERD AO CUBO SERVICOS DE MARKETING SA,0011O00002UymFUQAZ,7t5khxxjyl7ou,12/1/20,5/17/21,0061C00000jFSAAQA4,0011C00002ql0z9QAA,Live
KOCH HIPERMERCADOS SA,0011O00002UzGzCQAV,q3t62ey45z636,12/1/20,5/17/21,0061C00000jbv9zQAA,0011C00002s8aQqQAI,Live
GEPA Gesellschaft zur Förderung der Partnerschaft mit der Dritten Welt mbH,0015Y00002Y1fH1QAJ,xdcriuipudt3u,12/1/20,5/17/21,0061C00000eRmmmQAC,0011C00002l2HvLQAU,Live
